ID,BRT1 - Acting safe (%),BRT1 - Acting unsafe (%),BRT2 - Acting safe (%),BRT2 - Acting unsafe (%),BRT3 - Acting safe (%),BRT3 - Acting unsafe (%)
01,0,100,22.1,77.9,22.79,77.21
02,0,100,3.58,96.42,17.12,82.88
03,0,100,0,100,0,100
04,8.82,91.18,26.89,73.11,22.33,77.67
05,55.3,44.7,76.27,23.73,85.71,14.29
06,0,100,91.25,8.75,81.41,18.59
07,0,100,4.93,95.07,8.55,91.45
08,0,100,0,100,0,100
09,0,100,0,100,0,100
10,58.38,41.62,72.24,27.76,48.31,51.69
11,0,100,2.13,97.87,12.59,87.41
12,1.62,98.38,0.41,99.59,0,100
13,21.49,78.51,90.34,9.66,46.62,53.38
14,0,100,0,100,0,100
15,0.51,99.49,23.49,76.51,12.09,87.91
16,0,100,0,100,0,100
17,3.53,96.47,0,100,8.58,91.42
18,0,100,4.81,95.19,25.58,74.42
19,77.72,22.28,75.48,24.52,64.56,35.44
20,0.81,99.19,3.95,96.05,0,100
21,3.6,96.4,8.29,91.71,14.92,85.08
22,0,100,1.37,98.63,3.37,96.63
23,66.77,33.23,74.59,25.41,59.13,40.87
24,0,100,0,100,0,100
25,0,100,0,100,7.98,92.02
26,0,100,0,100,0,100
27,4.5,95.5,0.8,99.2,15.44,84.56
28,1.5,98.5,25.32,74.68,7.26,92.74
29,51.38,48.62,48.15,51.85,55.34,44.66
30,5.46,94.54,11.44,88.56,13.93,86.07
31,0,100,0,100,0,100
32,39.44,60.56,49.06,50.94,35.42,64.58
