ID,Trial,Headway,BRT
1,1,10.13,0.82
1,2,26.82,1.23
1,3,27.77,1.33
2,1,40.22,3.18
2,2,83.73,3.7
2,3,88.77,3.26
3,1,22.80,1.43
3,2,22.33,1.33
3,3,25.22,1.13
4,1,54.74,2.86
4,2,82.56,3.58
4,3,74.44,2.87
5,1,51.57,2.56
5,2,101.59,3.06
5,3,128.37,4.61
6,1,45.73,2.87
6,2,141.00,4.62
6,3,140.01,3.18
7,1,52.60,2.98
7,2,77.71,3.59
7,3,53.61,0.61
8,1,29.00,1.74
8,2,32.77,1.64
8,3,26.48,0.82
9,1,10.00,1.65
9,2,17.70,1.43
9,3,13.30,1.12
10,1,26.04,1.13
10,2,43.04,1.74
10,3,26.62,1.34
11,1,38.16,2.26
11,2,66.05,3.18
11,3,59.34,2.67
12,1,22.02,1.63
12,2,34.73,1.97
12,3,33.06,1.02
13,1,20.21,1.03
13,2,124.63,4.51
13,3,31.14,2.26
14,1,17.88,1.24
14,2,19.04,1.34
14,3,25.42,1.22
15,1,28.91,1.43
15,2,32.79,0.92
15,3,34.59,2.04
16,1,43.57,3.08
16,2,55.84,2.69
16,3,40.34,1.86
17,1,8.94,1.02
17,2,24.71,1.22
17,3,26.82,1.53
18,1,52.22,2.87
18,2,74.26,3.19
18,3,80.80,4.61
19,1,31.17,1.23
19,2,42.31,1.43
19,3,37.77,1.14
20,1,17.86,1.34
20,2,34.86,1.66
20,3,34.53,1.54
21,1,52.80,3.08
21,2,87.78,2.77
21,3,65.04,2.35
22,1,28.83,2.05
22,2,37.95,1.34
22,3,43.69,1.13
23,1,60.94,2.26
23,2,52.11,2.15
23,3,42.74,2.67
24,1,14.59,1.42
24,2,18.13,1.12
24,3,24.78,1.22
25,1,12.14,1.75
25,2,21.24,1.74
25,3,51.46,2.26
26,1,9.29,0.83
26,2,12.07,1.35
26,3,22.35,1.12
27,1,52.68,2.66
27,2,59.69,2.88
27,3,61.58,1.84
28,1,14.47,1.03
28,2,43.17,3.19
28,3,23.00,1.54
29,1,20.46,0.93
29,2,21.73,1.23
29,3,27.82,3.27
30,1,18.42,1.13
30,2,20.88,0.93
30,3,21.96,1.14
31,1,35.93,1.85
31,2,42.26,2.37
31,3,33.68,1.65
32,1,80.72,3.4
32,2,76.09,3.18
32,3,63.09,3.09
