ID,Cruise Control User Car @ 50 km/h: Acting safe - SVC available (%),Cruise Control User Car @ 50 km/h: Acting unsafe (%),Cruise Control User Car @ 80 km/h: Acting safe - SVC available (%),Cruise Control User Car @ 80 km/h: Acting unsafe (%),,
01,32.58,67.42,9.15,90.85,,
02,19.11,80.89,0,100,,
03,57.5,42.5,5.15,94.85,,
04,87.16,12.84,6.73,93.27,,
05,80.4,19.6,94.39,5.61,,
06,23.67,76.33,0,100,,
07,24.26,75.74,0,100,,
08,90.2,9.8,5.16,94.84,,
09,61.29,38.71,0.04,99.96,,
10,84.77,15.23,67,33,,
11,26.85,73.15,0.22,99.78,,
12,40.17,59.83,1,99,,
13,99.12,0.88,61.09,38.91,,
14,89.93,10.07,6.62,93.38,,
15,100,0,46.35,53.65,,
16,19.61,80.39,0,100,,
17,93.93,6.07,13.02,86.98,,
18,90.87,9.13,2.65,97.35,,
19,100,0,92.04,7.96,,
20,14.74,85.26,2.58,97.42,,
21,31.35,68.65,1.48,98.52,,
22,18.19,81.81,1.9,98.1,,
23,78.47,21.53,24.01,75.99,,
24,82.98,17.02,0.54,99.46,,
25,18.18,81.82,0,100,,
26,67.02,32.98,14.24,85.76,,
27,90.61,9.39,7.27,92.73,,
28,29.53,70.47,10.77,89.23,,
29,92.43,7.57,59.07,40.93,,
30,59.75,40.25,8.57,91.43,,
31,74.57,25.43,3.96,96.04,,
32,23.73,76.27,1.15,98.85,,
