id,age,gender,dr_exp_yrs,dr_exp_km,km_during_study,gearbox,pct_driving_wifi_on,email_read,harmfulness,usefulness,usefulness_voice_warnings,timing_reminders,usefulness_reminders
V11,62,M,35,800000,15000,M,90,1,3.25,3,3,3.5,3
V12,37,M,22,900000,15000,M,90,2,2,3.66666666666667,3.66666666666667,4,4
V13,44,F,25,150000,13000,M,98,2,1.25,5,5,3.75,5
V14,51,M,33,1500,9,A,90,1,2,4.66666666666667,4,4,4.66666666666667
V15,36,M,18,350000,3500,M,100,2,3.25,3,3,3.75,4
V16,54,M,35,1600,30,A,99,2,1.5,5,4.66666666666667,4,5
V17,25,F,6,100000,2000,M,80,2,1,2.33333333333333,5,5,5
V20,29,M,14,300,15,M,999,2,1.25,4.33333333333333,5,4.75,4
V21,29,M,11,200000,15000,A,100,2,2.5,3,4,3.5,3.33333333333333
V22,48,M,30,600,10,B,100,2,1,4.66666666666667,5,4.75,4.33333333333333
V23,42,M,26,500000,8,M,99,2,3,3.33333333333333,3.66666666666667,4.75,3.66666666666667
V24,53,F,33,500000,35000,M,85,2,1.5,4,4.33333333333333,4.75,4.66666666666667
V25,34,F,16,600000,30000,B,80,1,2.25,4.66666666666667,4.33333333333333,4,4.33333333333333
V27,29,M,10,700000,7000,A,97,2,1.75,3.33333333333333,3.33333333333333,2,3.33333333333333
V28,50,M,32,1000000,20000,A,90,2,4.5,1.33333333333333,1,4,2
V29,38,M,20,400000,14000,B,90,2,1,5,5,4,5
V30,29,M,13,2000000,9000,M,90,2,1.75,4.33333333333333,5,4.5,3.66666666666667
V31,24,F,6,40000,2000,M,80,2,2.75,3,5,4.5,1.33333333333333
V32,27,M,9,200,10,A,85,2,2,2,3.66666666666667,3,4
V33,64,M,48,1000000,15000,M,70,1,1,3.33333333333333,3.66666666666667,3.5,3.66666666666667
V34,18,M,.9,40000,18000,B,95,2,1.25,4.33333333333333,5,4.25,5
V36,46,M,28,900,10,M,80,2,1,5,5,3.75,5
V39,43,F,25,300000,10000,M,90,0,2.5,4,3.66666666666667,3,3.66666666666667
V40,36,M,18,450,10,M,90,2,3.5,2.66666666666667,1.66666666666667,3,2.33333333333333
V41,44,F,26,500000,24000,M,99,2,1.75,4.66666666666667,3.33333333333333,3.75,4.33333333333333
V42,36,M,18,400000,8000,M,95,2,2.25,3.66666666666667,3.66666666666667,1.75,4.33333333333333
