ID,Sex,Age,Driving Experience (in years),Self-estimated driving per year (in kilometers),Self-estimated life-time driving (in kilometers)
01,M,21,4.833,15000,70000
02,M,28,10.3333,1000,10000
03,M,21,3.25,10000,35000
04,M,23,3,15000,40000
05,F,33,16,10000,100000
06,F,24,7,30000,300000
07,M,23,3.5,300,3000
08,F,34,14,10000,100000
09,M,45,27,10000,300000
10,M,32,14,15000,210000
11,F,23,5.08333,600,40000
12,F,23,4.5,2000,15000
13,M,37,17,12000,204000
14,M,23,5.3333,6000,30000
15,F,23,6.5,500,5000
16,M,33,13,1000,10000
17,M,31,12,750,100000
18,F,40,5,30000,200000
19,M,36,18,10000,150000
20,M,24,6,8000,40000
21,M,22,4,1000,4000
22,M,25,7.5833,2000,10000
23,F,27,9.8333,15000,120000
24,M,22,5,3000,50000
25,M,22,2.1667,500,3000
26,F,22,4,2000,10000
27,F,25,7,5000,50000
28,F,28,13.25,20000,200000
29,M,30,5,10000,100000
30,F,23,5.5,2500,20000
31,F,22,4.75,3000,15000
32,M,25,7.4167,7000,50000
,,,,,
