ID,50 - count,50 - mean duration,50 - lane crossing occlusions,50 - inattentive occlusions,50 - PLC instances,80 - count,80 - mean duration,80 - lane crossing occlusions,80 - inattentive occlusions,80 - PLC instances
01,33,3.46,0,0,0,39,2.60,1,1,1
02,35,3.06,0,0,0,34,2.93,1,2,2
03,78,2.35,0,0,0,85,1.90,0,0,0
04,51,3.27,1,2,2,73,2.36,0,1,1
05,41,3.96,1,1,1,48,2.58,2,5,5
06,53,2.72,0,1,1,48,2.34,0,0,0
07,43,4.60,3,5,6,50,3.59,1,4,4
08,49,1.26,0,0,0,53,0.72,0,0,0
09,35,3.27,0,0,0,43,2.62,0,1,1
10,77,2.40,0,0,0,68,2.15,0,0,0
11,38,3.63,0,0,0,33,2.51,0,1,1
12,166,0.62,0,0,0,92,0.71,0,0,0
13,30,5.47,3,5,5,57,2.78,1,1,1
14,42,3.32,1,2,2,47,2.83,0,1,1
15,29,5.19,0,0,0,24,4.71,2,4,4
16,45,4.36,4,5,5,47,3.40,3,6,6
17,26,5.00,0,1,1,42,3.18,1,1,2
18,41,3.28,1,1,1,46,2.24,0,1,1
19,70,2.70,0,0,0,76,1.98,1,3,3
20,189,1.09,0,0,0,148,1.21,1,1,1
21,69,2.55,0,1,1,67,2.14,4,5,5
22,79,2.60,0,1,1,68,2.55,0,0,0
23,26,5.75,2,3,3,24,4.64,9,9,9
24,51,3.32,0,0,0,89,1.85,0,0,0
25,26,6.91,6,10,10,39,3.19,4,5,5
26,45,3.13,0,1,1,39,2.62,3,3,3
27,84,1.69,0,1,1,102,1.06,0,2,2
28,57,3.63,4,5,5,53,3.23,3,5,5
29,57,2.18,1,1,1,80,1.20,1,4,4
30,54,2.25,0,1,1,58,1.65,0,5,6
31,156,1.27,0,0,0,145,1.11,1,1,1
32,17,6.64,3,3,3,26,4.10,1,3,3
,,,,,,51.5,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
